label,l1d_size,l1d_assoc,l1i_size,l1i_assoc,l2_size,l2_assoc,cacheline,arrayMiB,strideB
baseline,32kB,2,32kB,2,1MB,8,64,64,64
L1D_16kB,16kB,2,32kB,2,1MB,8,64,128,64
L1D_32kB,32kB,2,32kB,2,1MB,8,64,128,64
L1D_64kB,64kB,2,32kB,2,1MB,8,64,128,64
L1Dassoc_1,32kB,1,32kB,2,1MB,8,64,128,64
L1Dassoc_2,32kB,2,32kB,2,1MB,8,64,128,64
L1Dassoc_4,32kB,4,32kB,2,1MB,8,64,128,64
L1Dassoc_8,32kB,8,32kB,2,1MB,8,64,128,64
L2_512kB,32kB,2,32kB,2,512kB,8,64,256,64
L2_1MB,32kB,2,32kB,2,1MB,8,64,256,64
L2_2MB,32kB,2,32kB,2,2MB,8,64,256,64
Line_64,32kB,2,32kB,2,1MB,8,64,128,64
Line_128,32kB,2,32kB,2,1MB,8,128,128,64
TLB_stride_4096_128,32kB,2,32kB,2,1MB,8,64,128,4096
TLB_stride_4096_256,32kB,2,32kB,2,1MB,8,64,256,4096
